,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dikson,100,RU,1563156132,94,73.51,80.55,42.21,14.61
1,Mar del Plata,41,AR,1563156134,76,-46.43,-67.52,38.97,12.82
2,Cabo San Lucas,20,MX,1563155864,66,22.89,-109.91,96.8,21.92
3,Rizon,0,GR,1563156137,63,40.73,22.14,66.0,10.29
4,Bluff,100,AU,1563156139,34,-23.58,149.07,63.09,3.38
5,Pevek,100,RU,1563156140,97,69.7,170.27,33.93,15.99
6,Kuytun,100,RU,1563156142,96,54.34,101.51,57.33,6.93
7,Hermanus,0,ZA,1563156144,87,-34.42,19.24,52.0,3.0
8,Kedrovyy,40,RU,1563156145,82,56.17,91.82,57.2,6.71
9,Vaini,40,IN,1563156147,100,15.34,74.49,69.8,4.7
10,Albany,1,US,1563156004,77,42.65,-73.75,75.2,5.82
11,Cape Town,75,ZA,1563155882,93,-33.93,18.42,54.0,8.05
12,Komsomolskiy,100,RU,1563156152,93,67.55,63.78,48.33,15.68
13,Punta Arenas,90,CL,1563156154,93,-53.16,-70.91,35.6,5.82
14,Torbay,90,CA,1563156155,100,47.66,-52.73,51.01,10.29
15,Chuy,7,UY,1563156157,89,-33.69,-53.46,46.17,4.18
16,Rome,0,IT,1563156020,60,41.89,12.48,75.99,6.93
17,Genhe,0,CN,1563156160,40,50.78,121.52,76.41,5.79
18,Kommunisticheskiy,44,RU,1563156162,68,61.68,64.48,74.61,6.96
19,Busselton,0,AU,1563156164,49,-33.64,115.35,57.99,20.42
20,Hobart,75,AU,1563156004,57,-42.88,147.33,53.01,16.11
21,Paamiut,0,GL,1563156167,89,61.99,-49.67,42.21,2.93
22,Kedougou,3,SN,1563156169,95,12.56,-12.19,74.25,7.09
23,Mataura,53,NZ,1563156170,80,-46.19,168.86,46.99,3.0
24,Marawi,100,PH,1563156172,70,8.0,124.29,84.0,3.0
25,Ushuaia,0,AR,1563156174,94,-54.81,-68.31,37.4,3.36
26,Naze,100,NG,1563156175,93,5.43,7.07,74.25,5.17
27,Pangkalanbuun,74,ID,1563156177,61,-2.68,111.62,83.25,4.88
28,Bullhead City,1,US,1563156060,8,35.15,-114.57,114.8,11.41
29,Jamestown,90,AU,1563156180,77,-33.21,138.6,52.29,7.09
30,Vardo,1,US,1563156182,61,39.62,-77.74,84.2,4.32
31,Pisco,0,PE,1563156184,77,-13.71,-76.2,60.8,10.29
32,Benguela,42,AO,1563156185,86,-12.58,13.4,68.49,4.68
33,Leshukonskoye,1,RU,1563156187,58,64.9,45.76,59.49,1.32
34,Magadan,97,RU,1563156189,94,59.56,150.8,49.41,14.0
35,Lubumbashi,0,CD,1563156190,60,-11.66,27.48,52.65,7.16
36,Bushehr,0,IR,1563156192,66,28.97,50.84,86.0,6.93
37,Rikitea,64,PF,1563156194,86,-23.12,-134.97,74.61,13.65
38,Hilo,75,US,1563156195,58,19.71,-155.08,84.2,11.41
39,Morristown,1,US,1563156197,83,36.21,-83.29,77.0,3.36
40,Barrow,99,AR,1563156199,85,-38.31,-60.23,45.09,9.6
41,Port Blair,75,IN,1563156201,88,11.67,92.75,80.6,8.05
42,Isalnita,10,RO,1563156202,93,44.4,23.73,59.0,3.36
43,Kapaa,75,US,1563156204,70,22.08,-159.32,84.2,12.75
44,Qaanaaq,100,GL,1563156206,76,77.48,-69.36,42.93,9.4
45,Beloha,28,MG,1563156207,85,-25.17,45.06,63.09,12.06
46,Severo-Kurilsk,100,RU,1563156209,96,50.68,156.12,44.37,12.08
47,Hailar,100,CN,1563156211,45,49.2,119.7,78.57,4.05
48,Caibarien,75,CU,1563156212,74,22.52,-79.47,80.6,9.17
49,Kaitangata,64,NZ,1563156214,56,-46.28,169.85,48.0,1.99
50,Snezhnogorsk,40,RU,1563156216,93,69.19,33.23,41.0,2.24
51,Ribeira Grande,100,PT,1563156217,66,38.52,-28.7,68.49,8.39
52,Castro,75,CL,1563156219,87,-42.48,-73.76,42.8,6.93
53,Tiksi,85,RU,1563156221,54,71.64,128.87,46.89,17.43
54,Te Anau,100,NZ,1563156222,64,-45.41,167.72,42.57,3.56
55,Morondava,0,MG,1563156224,59,-20.3,44.28,70.29,17.2
56,Butaritari,99,KI,1563156226,70,3.07,172.79,84.69,8.99
57,Narsaq,0,GL,1563156227,66,60.91,-46.05,53.6,2.24
58,Sibolga,92,ID,1563156229,76,1.74,98.78,81.09,4.59
59,Saint-Philippe,1,CA,1563156231,60,45.36,-73.48,72.0,3.36
60,Hay River,20,CA,1563156232,40,60.82,-115.79,71.6,4.7
61,Esperance,0,AU,1563156157,93,-33.86,121.89,48.2,14.99
62,Puri,1,ID,1563156236,54,-7.54,112.45,81.81,6.69
63,Laguna,40,BZ,1563156238,78,16.17,-88.94,82.4,2.68
64,Bambous Virieux,75,MU,1563156239,88,-20.34,57.76,68.0,11.41
65,Saint George,40,GR,1563156241,72,39.45,22.34,68.0,1.41
66,Kamina,0,CD,1563156243,40,-8.74,25.0,59.13,4.65
67,Manavalakurichi,40,IN,1563156244,88,8.13,77.3,78.8,5.82
68,Tigzirt,0,DZ,1563156246,73,36.57,4.2,65.25,3.58
69,Port Alfred,0,ZA,1563156248,86,-33.59,26.89,61.0,1.99
70,Thabazimbi,0,ZA,1563156249,69,-24.59,27.41,37.0,2.33
71,Mwense,0,ZM,1563156251,68,-10.39,28.7,52.29,4.74
72,Ancud,75,CL,1563156253,87,-41.87,-73.83,42.8,6.93
73,Newport,41,GB,1563156254,82,51.59,-3.0,63.0,9.17
74,San Ignacio,89,PE,1563156256,97,-5.15,-79.0,59.13,0.69
75,Puerto Ayora,9,EC,1563156258,92,-0.74,-90.35,70.0,1.99
76,Rincon,75,PA,1563156259,100,8.46,-82.28,77.0,2.24
77,Dothan,1,US,1563155969,94,31.22,-85.39,78.8,3.6
78,Kavieng,98,PG,1563156263,79,-2.57,150.8,82.17,8.86
79,Araouane,19,ML,1563156264,26,18.9,-3.53,94.41,4.72
80,Gladstone,100,AU,1563156266,23,-23.84,151.26,68.0,9.17
81,Mana,93,NG,1563156268,51,13.03,5.27,86.13,8.43
82,Broome,58,GB,1563156269,76,52.47,1.45,57.2,4.7
83,Caravelas,2,BR,1563156271,91,-17.73,-39.27,67.41,7.54
84,Otaki,90,JP,1563156273,94,35.95,138.94,78.01,6.93
85,Imbituba,75,BR,1563156049,82,-28.24,-48.67,60.8,12.75
86,Yanam,40,IN,1563156276,70,16.73,82.22,86.0,10.29
87,Sioux Lookout,20,CA,1563156278,78,50.1,-91.92,78.8,2.24
88,Sao Pedro do Sul,75,BR,1563156279,93,-29.62,-54.18,51.8,4.7
89,Codrington,0,AU,1563156281,36,-28.95,153.24,62.01,19.46
90,Constitucion,40,MX,1563156283,31,23.99,-104.67,78.8,6.93
91,Beringovskiy,94,RU,1563156284,69,63.05,179.32,60.93,8.9
92,Mashhad,0,IR,1563156120,44,36.3,59.61,80.6,7.76
93,Chokurdakh,100,RU,1563156288,66,70.62,147.9,42.57,13.98
94,Nabire,24,ID,1563156289,62,-3.36,135.5,81.81,4.92
95,Mayo,75,CA,1563156291,49,63.59,-135.9,71.6,10.29
96,Carnarvon,0,ZA,1563156293,27,-30.97,22.13,49.77,6.78
97,Labuhan,15,ID,1563156294,47,-2.54,115.51,88.29,1.92
98,Rokytne,33,UA,1563156296,97,51.27,27.23,50.49,4.94
99,Adrar,0,DZ,1563156298,9,27.87,-0.29,95.0,3.33
100,Leningradskiy,100,RU,1563156299,96,69.38,178.42,36.81,2.37
101,Acapulco,75,MX,1563156301,79,16.86,-99.88,84.2,8.05
102,Nageshwari,100,BD,1563156303,92,25.94,89.71,77.49,6.78
103,East London,0,ZA,1563156305,84,-33.02,27.91,51.21,2.73
104,Tasiilaq,100,GL,1563156306,70,65.61,-37.64,44.6,4.7
105,Werda,0,BW,1563156308,37,-25.27,23.28,49.77,8.16
106,Victoria,75,BN,1563156249,74,5.28,115.24,84.2,3.36
107,Vidim,0,CZ,1563156311,93,50.47,14.53,59.0,4.7
108,Muravlenko,0,RU,1563156313,57,63.79,74.5,79.29,13.51
109,Tieli,4,CN,1563156315,69,46.98,128.05,77.85,4.41
110,Nanortalik,93,GL,1563156316,95,60.14,-45.24,38.97,1.88
111,Bredasdorp,0,ZA,1563156318,93,-34.53,20.04,42.8,6.93
112,Nikolskoye,0,RU,1563156320,87,59.7,30.79,52.0,4.47
113,Ponta do Sol,0,BR,1563156321,65,-20.63,-46.0,60.93,1.79
114,Ossora,0,RU,1563156323,66,59.24,163.07,69.57,6.96
115,Mount Gambier,90,AU,1563156325,87,-37.83,140.78,53.6,13.87
116,La Huaca,97,PE,1563156327,87,-12.67,-76.64,60.21,13.85
117,Atuona,0,PF,1563156122,75,-9.8,-139.03,80.73,15.68
118,New Norfolk,75,AU,1563156330,57,-42.78,147.06,54.0,16.11
119,Porto Novo,0,BR,1563156331,77,-23.68,-45.44,60.8,9.35
120,Kaduqli,98,SD,1563156333,89,11.01,29.72,72.09,5.86
121,Sao Filipe,51,CV,1563156335,89,14.9,-24.5,73.53,13.24
122,Takoradi,0,GH,1563156337,94,4.89,-1.75,71.01,3.38
123,Kisangani,0,CD,1563156338,86,0.52,25.21,70.65,2.19
124,Bechem,39,GH,1563156340,99,7.09,-2.02,68.13,2.77
125,Lebu,75,ET,1563156342,93,8.96,38.73,53.6,2.24
126,Sharjah,3,AE,1563156343,79,25.36,55.39,89.6,8.05
127,Fortuna,1,US,1563156345,82,40.6,-124.16,64.99,14.99
128,Saint Anthony,20,US,1563156347,48,43.97,-111.68,82.4,13.87
129,Thompson,90,CA,1563156348,56,55.74,-97.86,69.8,3.36
130,Nantucket,1,US,1563156068,78,41.28,-70.1,77.0,3.36
131,Lowicz,0,PL,1563156352,71,52.11,19.95,57.2,2.24
132,Hami,95,CN,1563156353,15,42.84,93.51,87.93,11.34
133,Lata,61,IN,1563156355,88,30.78,78.62,46.53,5.28
134,Klaksvik,100,FO,1563156357,100,62.23,-6.59,53.6,4.7
135,Hofn,100,IS,1563156358,91,64.25,-15.21,44.37,5.03
136,Huejuquilla el Alto,100,MX,1563156360,86,22.63,-103.9,64.89,2.26
137,Hithadhoo,95,MV,1563156362,69,-0.6,73.08,82.89,4.14
138,Rocha,71,UY,1563156209,93,-34.48,-54.34,41.49,2.84
139,Longyearbyen,75,NO,1563156365,75,78.22,15.63,44.6,6.93
140,Charyshskoye,50,RU,1563156367,66,51.4,83.56,69.57,13.42
141,Severobaykalsk,99,RU,1563156368,47,55.65,109.32,65.61,6.31
142,General Cepeda,40,MX,1563156370,41,25.38,-101.48,75.99,11.41
143,Yellowknife,75,CA,1563156372,35,62.45,-114.38,69.8,7.23
144,Cuamba,45,MZ,1563156373,92,-14.8,36.54,57.33,4.5
145,Tura,100,RU,1563156375,67,64.27,100.22,68.13,4.59
146,Dingle,87,PH,1563156377,81,11.0,122.67,82.17,6.31
147,Airai,100,TL,1563156378,49,-8.93,125.41,81.09,0.96
148,Luderitz,0,NA,1563156380,93,-26.65,15.16,50.0,4.7
149,Neiafu,75,TO,1563156382,78,-18.65,-173.98,77.0,11.41
150,Berlin,75,DE,1563156133,72,52.52,13.39,61.0,4.7
151,Guerrero Negro,0,MX,1563156385,85,27.97,-114.04,67.41,13.94
152,Tyup,0,KG,1563156387,57,42.73,78.36,53.73,3.02
153,Hosdurga,52,IN,1563156389,75,13.8,76.29,75.33,13.22
154,Tabou,1,CI,1563156390,87,4.42,-7.36,69.57,1.16
155,Altay,0,CN,1563156392,42,47.83,88.13,68.13,3.53
156,Yatou,75,CM,1563156394,100,3.63,9.81,75.2,1.12
157,Lipnita,100,RO,1563156395,99,44.1,27.6,57.0,1.01
158,Mayumba,99,GA,1563156397,92,-3.44,10.65,70.65,4.76
159,Warrnambool,61,AU,1563156399,97,-38.38,142.48,54.0,8.99
160,Tuatapere,75,NZ,1563156400,80,-46.13,167.69,46.99,3.0
161,Ribas do Rio Pardo,35,BR,1563156402,49,-20.45,-53.76,67.77,2.89
162,Mahebourg,75,MU,1563156404,88,-20.41,57.7,68.0,11.41
163,Geraldton,90,CA,1563156405,88,49.72,-86.95,66.2,5.82
164,Iqaluit,75,CA,1563156407,87,63.75,-68.52,42.8,5.82
165,Manati,0,AL,1563156409,93,41.76,19.67,62.6,2.24
166,Diamantino,0,BR,1563156410,44,-14.4,-56.44,73.53,4.74
167,Cayenne,91,GF,1563156412,94,4.94,-52.33,77.0,3.09
168,Camabatela,15,AO,1563156414,99,-8.19,15.37,60.21,1.32
169,Bud,100,NO,1563156416,87,62.91,6.91,51.01,3.36
170,Didi Lilo,90,GE,1563156417,77,41.74,44.97,69.8,9.17
171,Mamallapuram,20,IN,1563156419,74,12.63,80.17,82.4,9.17
172,Kuzhithurai,40,IN,1563156421,88,8.32,77.18,78.8,5.82
173,Birao,100,CF,1563156422,88,10.3,22.78,72.45,10.07
174,Tuktoyaktuk,75,CA,1563156424,59,69.44,-133.03,62.6,6.93
175,Souillac,0,FR,1563156426,63,45.6,-0.6,66.99,5.82
176,Yulara,23,AU,1563156427,50,-25.24,130.99,53.6,18.34
177,Pontian Kecil,40,MY,1563156429,100,1.48,103.39,77.0,5.82
178,Jining,32,CN,1563156431,35,35.41,116.58,95.13,7.2
179,Naryan-Mar,96,RU,1563156432,82,67.67,53.09,49.77,4.05
180,Georgetown,0,GY,1563156405,83,6.8,-58.16,82.4,4.7
181,Arraial do Cabo,1,BR,1563156436,74,-22.97,-42.02,72.09,4.83
182,Muroto,75,JP,1563156437,83,33.37,134.14,77.0,5.82
183,Tautira,40,PF,1563156439,69,-17.73,-149.15,80.6,11.41
184,Butembo,5,CD,1563156441,94,0.12,29.29,59.49,2.95
185,Ascoli Piceno,11,IT,1563156442,93,42.85,13.58,66.99,4.7
186,Srandakan,52,ID,1563156444,76,-7.94,110.25,77.13,23.11
187,Havoysund,100,NO,1563156446,87,71.0,24.66,44.6,2.24
188,Kahului,20,US,1563156265,51,20.89,-156.47,89.6,14.99
189,Plettenberg Bay,0,ZA,1563156449,85,-34.05,23.37,50.13,3.74
190,Pingliang,100,CN,1563156451,46,35.54,106.68,73.53,10.51
191,Saquena,0,PE,1563156452,91,-4.67,-73.52,71.73,0.45
192,Biak,100,ID,1563156454,82,-0.91,122.88,67.41,6.53
193,Acari,4,BR,1563156456,76,-6.44,-36.64,74.25,17.49
194,Sao Joao da Barra,1,BR,1563156458,68,-21.64,-41.05,67.41,2.51
195,Ornskoldsvik,100,SE,1563156459,93,63.29,18.72,53.6,4.21
196,Esso,39,RU,1563156461,47,55.93,158.7,67.05,9.51
197,Aklavik,75,CA,1563156463,60,68.22,-135.01,68.0,8.05
198,Teluknaga,20,ID,1563156464,54,-6.1,106.64,84.99,5.82
199,Alice Springs,0,AU,1563156263,46,-23.7,133.88,53.6,16.11
200,Belyy Yar,0,RU,1563156468,68,53.6,91.39,68.0,6.71
201,Waipawa,33,NZ,1563156469,66,-39.94,176.59,53.01,5.01
202,Ahuimanu,20,US,1563156471,78,21.44,-157.84,89.6,12.75
203,Ovre Ardal,99,NO,1563156456,79,61.32,7.8,41.49,4.29
204,San Vicente,75,EC,1563156474,88,-0.59,-80.41,75.2,4.7
205,Port Macquarie,13,AU,1563156476,31,-31.43,152.91,64.99,21.92
206,Nishihara,90,JP,1563156478,94,35.74,139.53,75.99,6.93
207,Otradnoye,0,RU,1563156479,87,59.77,30.8,52.0,4.47
208,Lagoa,0,PT,1563156481,77,37.14,-8.45,68.0,8.05
209,Hervey Bay,88,AU,1563156483,29,-25.3,152.85,66.99,19.46
210,Cienfuegos,69,CU,1563156485,100,22.15,-80.44,80.6,2.24
211,Saint-Joseph,40,FR,1563156486,72,43.56,6.97,73.4,3.36
212,Aksarka,44,RU,1563156488,76,66.56,67.8,69.57,11.27
213,Kodiak,20,US,1563156490,62,39.95,-94.76,87.8,11.41
214,Baiyin,40,CN,1563156491,93,36.55,104.13,60.8,4.47
215,Quelimane,60,MZ,1563156296,85,-17.88,36.89,63.09,3.31
216,Port Elizabeth,1,US,1563156488,65,39.31,-74.98,82.4,5.73
217,Rabo de Peixe,20,PT,1563156496,82,37.8,-25.58,68.0,4.7
218,Grand Baie,75,MU,1563156498,88,-20.02,57.58,68.0,11.41
219,Coahuayana,100,MX,1563156499,90,18.62,-100.35,74.25,1.99
220,Avarua,83,CK,1563156501,64,-21.21,-159.78,73.4,10.29
221,Prince Rupert,90,CA,1563156503,87,54.32,-130.32,60.8,3.36
222,Shelburne,1,CA,1563156505,77,44.08,-80.2,73.4,4.7
223,Samarkand,0,UZ,1563156506,39,39.65,66.98,80.6,6.93
224,Nizhniy Kuranakh,2,RU,1563156508,62,58.84,125.49,77.85,2.8
225,Muros,0,ES,1563156511,100,42.77,-9.06,64.4,4.7
226,Don Matias,40,CO,1563156512,82,6.49,-75.39,62.6,3.36
227,Oriximina,29,BR,1563156514,87,-1.77,-55.87,76.77,6.04
228,Riosucio,75,CO,1563156516,100,5.42,-75.7,66.2,6.93
229,Litovko,26,RU,1563156517,50,49.24,135.18,81.45,4.32
230,Metro,25,ID,1563156519,68,-5.11,105.31,81.45,4.92
231,Clyde River,90,CA,1563156521,93,70.47,-68.59,37.4,14.99
232,Coquimbo,0,CL,1563156328,81,-29.95,-71.34,52.0,6.93
233,San Policarpo,100,PH,1563156524,86,12.18,125.51,79.29,10.36
234,Kriel,0,ZA,1563156526,72,-26.26,29.26,37.0,0.51
235,Pascagoula,40,US,1563156527,100,30.37,-88.56,84.2,3.36
236,Silver City,100,US,1563156529,39,32.77,-108.28,78.01,1.01
237,Dwarka,75,IN,1563156531,66,28.58,77.04,91.0,9.17
238,Gorele,75,TR,1563156533,73,41.03,39.0,73.4,4.7
239,Hasaki,75,JP,1563156534,88,35.73,140.83,72.0,14.99
240,Safranbolu,56,TR,1563156300,91,41.25,32.69,55.53,2.55
241,Taksimo,0,RU,1563156356,52,56.36,114.84,64.89,5.03
242,Half Moon Bay,1,US,1563156539,82,37.46,-122.43,73.4,10.29
243,Kungurtug,67,RU,1563156541,70,50.6,97.53,62.37,3.94
244,Vestmannaeyjar,100,IS,1563156543,96,63.44,-20.27,53.01,21.68
245,Batagay-Alyta,83,RU,1563156544,45,67.8,130.41,62.73,5.57
246,Faya,80,SA,1563156546,68,18.39,42.45,78.8,3.36
247,Saskylakh,0,RU,1563156548,45,71.97,114.09,55.17,12.39
248,Vikulovo,39,RU,1563156549,73,55.07,40.96,54.09,2.77
249,San Ramon,5,NI,1563156551,96,12.92,-85.84,65.25,4.36
250,Opuwo,0,NA,1563156553,50,-18.06,13.84,51.21,2.24
251,Dodoma,5,TZ,1563156554,82,-6.18,35.75,60.8,6.93
252,General Pico,35,AR,1563156556,66,-35.66,-63.75,47.97,7.83
253,Nijar,0,ES,1563156360,78,36.97,-2.21,71.6,4.7
254,Fare,1,PF,1563156559,79,-16.7,-151.02,78.21,12.48
255,Cranbrook,75,CA,1563156561,35,49.51,-115.76,71.6,12.75
256,Lively,40,US,1563156563,69,32.41,-96.32,82.0,6.93
257,Hit,0,IQ,1563156564,21,33.64,42.83,83.25,12.19
258,Evensk,91,RU,1563156566,83,61.92,159.24,55.89,6.69
259,Mapiripan,81,CO,1563156568,95,2.89,-72.13,72.45,2.1
260,Rehoboth,0,NA,1563156569,58,-23.31,17.08,41.13,1.66
261,Quirinopolis,68,BR,1563156571,42,-18.45,-50.45,73.53,4.47
262,Povenets,100,RU,1563156573,98,62.85,34.83,46.17,2.26
263,San Cristobal,100,HN,1563156575,78,14.68,-86.92,68.85,5.35
264,Mikulovice,75,CZ,1563156576,93,50.59,13.48,57.99,3.36
265,Mastic Beach,1,US,1563156578,53,40.77,-72.85,82.4,3.36
266,Nanga Eboko,100,CM,1563156580,99,4.68,12.37,67.77,1.63
267,Dali,92,CN,1563156581,30,34.79,109.94,91.89,12.01
268,Tari,100,NG,1563156583,52,12.41,4.49,85.41,9.13
269,Honjo,20,JP,1563156585,61,39.38,140.05,80.6,6.93
270,Pacific Grove,1,US,1563156586,39,36.62,-121.92,84.2,11.41
271,Haines Junction,4,CA,1563156588,47,60.75,-137.51,60.57,9.91
272,Monkey Bay,0,MW,1563156590,77,-14.08,34.91,63.09,12.26
273,Upernavik,0,GL,1563156591,66,72.79,-56.15,44.37,10.04
274,Yeppoon,100,AU,1563156593,25,-23.13,150.74,64.4,11.41
275,Ibimirim,28,BR,1563156595,91,-8.54,-37.69,67.41,11.48
276,Vostok,88,RU,1563156596,64,46.45,135.83,69.93,3.6
